x,y,z,diam
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000381469726562e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+00
2.330000305175781250e+01,-1.300000190734863281e+00,7.000007629394531250e-01,3.500000000000000000e+00
2.780000305175781250e+01,5.000000000000000000e-01,1.299999237060546875e+00,3.500000000000000000e+00
2.950000381469726562e+01,6.999998092651367188e-01,5.000000000000000000e-01,3.500000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950000381469726562e+01,6.999998092651367188e-01,5.000000000000000000e-01,3.500000000000000000e+00
3.080000305175781250e+01,1.500000000000000000e+00,2.000000000000000000e+00,2.299999952316284180e+00
3.230000305175781250e+01,2.500000000000000000e+00,2.000000000000000000e+00,1.700000047683715820e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.230000305175781250e+01,2.500000000000000000e+00,2.000000000000000000e+00,1.700000047683715820e+00
3.180000305175781250e+01,2.500000000000000000e+00,2.000000000000000000e+00,1.700000047683715820e+00
3.580000305175781250e+01,2.699999809265136719e+00,4.000000000000000000e+00,2.000000000000000000e+00
3.980000305175781250e+01,5.000000000000000000e+00,8.500000000000000000e+00,1.000000000000000000e+00
4.380000305175781250e+01,7.699999809265136719e+00,1.200000000000000000e+01,1.299999952316284180e+00
4.810000228881835938e+01,9.700000762939453125e+00,1.450000000000000000e+01,1.000000000000000000e+00
5.150000381469726562e+01,1.170000076293945312e+01,1.700000000000000000e+01,1.500000000000000000e+00
5.710000228881835938e+01,1.350000000000000000e+01,1.929999923706054688e+01,1.500000000000000000e+00
5.950000381469726562e+01,1.550000000000000000e+01,2.129999923706054688e+01,5.000000000000000000e-01
6.330000305175781250e+01,1.829999923706054688e+01,2.270000076293945312e+01,2.000000000000000000e+00
6.710000610351562500e+01,1.950000000000000000e+01,2.550000000000000000e+01,5.000000000000000000e-01
7.030000305175781250e+01,2.150000000000000000e+01,2.650000000000000000e+01,1.700000047683715820e+00
7.430000305175781250e+01,2.329999923706054688e+01,2.950000000000000000e+01,1.299999952316284180e+00
7.750000000000000000e+01,2.400000000000000000e+01,3.070000076293945312e+01,1.500000000000000000e+00
8.030000305175781250e+01,2.470000076293945312e+01,3.470000076293945312e+01,1.299999952316284180e+00
8.380000305175781250e+01,2.729999923706054688e+01,3.729999923706054688e+01,1.299999952316284180e+00
8.680000305175781250e+01,2.970000076293945312e+01,4.100000000000000000e+01,2.000000000000000000e+00
8.880000305175781250e+01,3.400000000000000000e+01,4.300000000000000000e+01,1.000000000000000000e+00
9.330000305175781250e+01,3.650000000000000000e+01,4.470000076293945312e+01,1.000000000000000000e+00
9.630000305175781250e+01,3.770000076293945312e+01,4.729999923706054688e+01,1.000000000000000000e+00
1.005000000000000000e+02,3.800000000000000000e+01,5.100000000000000000e+01,5.000000000000000000e-01
1.053000030517578125e+02,4.070000076293945312e+01,5.729999923706054688e+01,1.299999952316284180e+00
1.088000030517578125e+02,4.370000076293945312e+01,6.050000000000000000e+01,5.000000000000000000e-01
1.135000000000000000e+02,4.470000076293945312e+01,6.630000305175781250e+01,1.000000000000000000e+00
1.175000000000000000e+02,4.570000076293945312e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.188000030517578125e+02,4.600000000000000000e+01,7.300000000000000000e+01,5.000000000000000000e-01
1.251000061035156250e+02,4.700000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00
1.285000000000000000e+02,4.770000076293945312e+01,7.800000000000000000e+01,1.500000000000000000e+00
1.338000030517578125e+02,4.700000000000000000e+01,8.150000000000000000e+01,1.000000000000000000e+00
1.408000030517578125e+02,4.550000000000000000e+01,8.369999694824218750e+01,5.000000000000000000e-01
1.443000030517578125e+02,4.300000000000000000e+01,8.669999694824218750e+01,1.500000000000000000e+00
1.493000030517578125e+02,4.170000076293945312e+01,8.830000305175781250e+01,1.500000000000000000e+00
1.538000030517578125e+02,4.150000000000000000e+01,8.769999694824218750e+01,1.000000000000000000e+00
1.575000000000000000e+02,4.500000000000000000e+01,9.030000305175781250e+01,3.000000119209289551e-01
1.601000061035156250e+02,4.829999923706054688e+01,9.100000000000000000e+01,5.000000000000000000e-01
1.593000030517578125e+02,5.229999923706054688e+01,9.969999694824218750e+01,5.000000000000000000e-01
1.575000000000000000e+02,5.250000000000000000e+01,1.036999969482421875e+02,1.000000000000000000e+00
1.591000061035156250e+02,5.300000000000000000e+01,1.093000030517578125e+02,5.000000000000000000e-01
1.623000030517578125e+02,5.529999923706054688e+01,1.130000000000000000e+02,5.000000000000000000e-01
1.671000061035156250e+02,6.000000000000000000e+01,1.175000000000000000e+02,5.000000000000000000e-01
1.711000061035156250e+02,6.530000305175781250e+01,1.195000000000000000e+02,1.000000000000000000e+00
1.735000000000000000e+02,6.900000000000000000e+01,1.206999969482421875e+02,5.000000000000000000e-01
1.735000000000000000e+02,7.369999694824218750e+01,1.230000000000000000e+02,3.000000119209289551e-01
1.743000030517578125e+02,7.830000305175781250e+01,1.250000000000000000e+02,5.000000000000000000e-01
1.753000030517578125e+02,8.150000000000000000e+01,1.290000000000000000e+02,3.000000119209289551e-01
1.771000061035156250e+02,8.250000000000000000e+01,1.305000000000000000e+02,1.000000000000000000e+00
1.793000030517578125e+02,8.500000000000000000e+01,1.336999969482421875e+02,3.000000119209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.230000305175781250e+01,2.500000000000000000e+00,2.000000000000000000e+00,1.700000047683715820e+00
3.530000305175781250e+01,3.699999809265136719e+00,2.000000000000000000e+00,1.000000000000000000e+00
4.180000305175781250e+01,7.500000000000000000e+00,1.299999237060546875e+00,1.700000047683715820e+00
4.630000305175781250e+01,1.000000000000000000e+01,-2.999992370605468750e-01,1.299999952316284180e+00
5.050000381469726562e+01,1.429999923706054688e+01,-2.299999237060546875e+00,1.299999952316284180e+00
